10,-16.8305947441474,-19.1393319855656,-3.30040554469966,-3.01577144018681,-18.9367303187007,-45.1455648047621,-48.8367215873743
10.25,-17.3792972082204,-19.7263541155726,-3.26398397843804,-3.01520611368547,-18.4688211987581,-44.9940225431354,-48.7165477093071
10.5,-17.8926100348653,-20.252428859763,-3.23460834120611,-3.01475082132795,-17.9684564218609,-44.7985165208915,-48.5984181253096
10.75,-18.3775269581423,-20.7188825702497,-3.21058081044411,-3.01437778110501,-17.432173676554,-44.5621256240722,-48.4831957077911
11,-18.8407849185714,-21.1230324976377,-3.19072908234581,-3.0140684861823,-16.8603159643583,-44.2866562857178,-48.3738950710827
11.25,-19.2904773752469,-21.4553419130972,-3.17424812493706,-3.01381046486097,-16.2670652397056,-43.97292920639,-48.2775920999579
11.5,-19.7409216272459,-21.6886731377062,-3.16065374126314,-3.01359560317986,-15.7365610552667,-43.6209000612773,-48.2127168050735
11.75,-20.2514789625945,-21.6919243743146,-3.15021596283106,-3.01342017214367,-16.3639910670018,-43.2293319605321,-48.2693494908844
12,-24.1062171872457,-25.5997874122468,-3.69291888789398,-3.01307411038337,-11.7780303502333,-42.7983484516515,-50.7538330233966
12.25,-25.9961913977908,-27.8697733614319,-3.94333470051382,-3.01285697389743,-10.323982181118,-42.3277029861262,-51.7298196526026
12.5,-27.3742563287119,-29.5937110052389,-4.11442837204971,-3.01268814249949,-9.6022310694689,-41.8131045366694,-52.3606870698245
12.75,-28.4895009744886,-31.0428627487484,-4.24683686914192,-3.01255080196339,-9.13834766926968,-41.2510294400012,-52.822086015613
13,-29.431423087904,-32.3133816094737,-4.35521517300928,-3.01243829928138,-8.8048777367997,-40.6369064553715,-53.1767653932932
13.25,-30.2446044046153,-33.452434526514,-4.44693941866569,-3.01234724980216,-8.54916004083873,-39.9648053328963,-53.4567256719469
13.5,-30.9546951057818,-34.4866264745613,-4.52638701018038,-3.01227602254308,-8.34444839514263,-39.2269771598836,-53.6819177235593
13.75,-31.5772946915557,-35.4316109384087,-4.59644186080398,-3.01222435140698,-8.17532018422149,-38.4131403970038,-53.8669654697385
14,-32.1215031779308,-36.2957873038577,-4.65916050275985,-3.01219343414362,-8.03204486902435,-37.5093291633099,-54.0244717849263
14.25,-32.5911324548055,-37.0812721976628,-4.7161210181466,-3.01218652237129,-7.90801538223762,-36.4959321992414,-54.1673636751483
14.5,-32.9842524174707,-37.7826560349505,-4.76864261029904,-3.01221038215066,-7.79840570922342,-35.3441218315586,-54.3115147383934
14.75,-33.2904058408783,-38.3821833083906,-4.81797065849202,-3.01227891208203,-7.69934167340629,-34.0087151498151,-54.4801537053388
15,-33.482186918135,-38.8356754523612,-4.86552425476516,-3.0124233728926,-7.60719378654494,-32.4119235928774,-54.7137814742356
15.25,-33.4868934868855,-39.0250137035069,-4.91345684232825,-3.01272963653215,-7.51747331776278,-30.3982142188084,-55.0993573201303
15.5,-33.0434577972311,-38.5195115750458,-4.96685917810908,-3.01356128031852,-7.42109372717542,-27.5553537323561,-55.9000159640119
15.75,-27.4396904331714,-32.6140867432104,-5.06717728375571,-3.33623062182691,-7.25343533862529,-18.4381745981983,-61.2116675655648
16,-33.3317917752179,-51.592450784427,-5.02992418954126,-3.19997677176064,-7.32343818900433,-19.4185875607845,-58.2998140253532
16.25,-34.9108226456312,-64.2432217935213,-5.01239186368486,-3.16041261597611,-7.35326769575152,-20.0076662962249,-55.1144242105013
16.5,-35.8725837067181,-60.660363201647,-5.00009663439911,-3.14225413260888,-7.37299839021088,-20.3169740473514,-52.8739619857422
16.75,-36.5788623902935,-57.726312187404,-4.99083274989225,-3.13171207961118,-7.38722396228541,-20.5095721629001,-51.1172310097949
17,-37.1430320263479,-56.4048930642773,-4.98365464226098,-3.12483364194917,-7.39784004552765,-20.6406674595574,-49.6293864235259
17.25,-37.6156875748021,-55.7390397838493,-4.97803775378925,-3.1200182024942,-7.40585596297075,-20.7348532134015,-48.3023769561433
17.5,-38.0243387783661,-55.3906314265097,-4.97365430962933,-3.11648431841211,-7.4118783236126,-20.8044737116228,-47.0738764704088
17.75,-38.3858145450835,-55.2155267840937,-4.97029026745802,-3.11380383643004,-7.41629436720937,-20.8596549062565,-45.8954409835328
18,-38.7119139582205,-55.1406199706597,-4.96779845285658,-3.11171613992845,-7.41934703670015,-20.9022684736708,-44.7515543061618
18.25,-39.0110819996344,-55.127123579451,-4.96608903975994,-3.11006002368075,-7.42119129195799,-20.9358373507675,-43.617307201467
18.5,-39.2901130840836,-55.1516288186016,-4.96511881939444,-3.10872698909531,-7.42189414759649,-20.9626017109533,-42.4730621692805
18.75,-39.5550014130976,-55.1991661431073,-4.96489641969069,-3.10764230892089,-7.42143472842449,-20.9840447984103,-41.3022781171425
19,-39.8119520588552,-55.2589385614038,-4.96550792507999,-3.10675323953232,-7.41966336282081,-21.0012189817617,-40.0924697975239
19.25,-40.069423261406,-55.320818382453,-4.96720439461404,-3.10602230371452,-7.41615892374138,-21.0148839041906,-38.8500496455139
19.5,-40.3466696617754,-55.366985306081,-4.97082865853448,-3.10542486912787,-7.40953133180996,-21.0255709899494,-37.74819839842
19.75,-40.8295390306874,-56.3279644495302,-5.00779320825496,-3.10497245383766,-7.353757458422,-21.0332316028202,-34.6790876135712
20,-41.1369687957887,-57.6111111385603,-5.03692901988792,-3.10457003235048,-7.31130002200047,-21.0392397101944,-31.9329424161304
20.25,-41.3952672313525,-58.6107589697219,-5.05564037226489,-3.10424070408131,-7.2840974498816,-21.0433850590824,-30.8767457912087
20.5,-41.6333359514629,-59.5495204233267,-5.07071952286019,-3.10397864329533,-7.26227060575573,-21.0457307815585,-30.2038380980083
20.75,-41.8588466770682,-60.4822086381052,-5.0837999593273,-3.10377809216545,-7.24343543861579,-21.0463278015425,-29.7025281548559
21,-42.0759304724967,-61.435595257221,-5.09559228502171,-3.10363530966714,-7.22655319814506,-21.0451654514149,-29.2977250381476
21.25,-42.2877192845161,-62.4279714352693,-5.10649042066866,-3.10354881571853,-7.21104910995431,-21.0421555761107,-28.9537960122022
21.5,-42.4971955330642,-63.4743104905839,-5.11674934023288,-3.10351972678913,-7.19655401759022,-21.0371108146636,-28.6506504308782
21.75,-42.7077001064264,-64.5865074983244,-5.12655613413509,-3.10355248969286,-7.18280155976823,-21.0297049171793,-28.3754015439054
22,-42.9234713703441,-65.7681639910987,-5.13606588155641,-3.10365646811236,-7.16957701389273,-21.0193964295675,-28.1187177916463
22.25,-43.1516931569537,-67.0102348580167,-5.14542724264271,-3.10385809893248,-7.15667998863846,-21.0051269135175,-27.8724741969338
22.5,-43.3964423976522,-68.1448297201886,-5.15480643120186,-3.10416441234359,-7.14394047566732,-20.9860185306596,-27.6328227329914
22.75,-43.6770216574136,-68.9345687189696,-5.16440259690507,-3.10465108718501,-7.13105941572576,-20.958712624534,-27.3878257855946
23,-44.02124633131,-68.726276224938,-5.17457130589431,-3.10544514009835,-7.11766609276672,-20.9172543399206,-27.1252931159153
23.25,-44.5039052157298,-66.8695217944331,-5.18605048380688,-3.10691291163955,-7.10294829853506,-20.8451928274581,-26.8193233816463
23.5,-45.486438326921,-62.6022900133714,-5.20154363536607,-3.11098262470112,-7.08398474386389,-20.6604045398423,-26.377193753202
23.75,-44.6827199795527,-64.2834131189523,-5.15757691892939,-3.1230918531815,-7.17007503339429,-21.0507776614637,-26.6626103143878
24,-43.7087854473819,-65.5730050011071,-5.11750001759741,-3.11449544529905,-7.23814563124723,-21.2945723613389,-27.2854579037819
24.25,-43.3295275333852,-62.838153240424,-5.08964981781749,-3.11050045122593,-7.2845740987811,-21.3677627869068,-27.7683593655648
24.5,-43.1229091617487,-60.8540906698313,-5.06734045453686,-3.10809635062666,-7.3212201209478,-21.4023364436711,-28.1974674175266
24.75,-43.0065750669829,-59.4440469842874,-5.04850587012337,-3.10645003299723,-7.35177160770809,-21.4226209826151,-28.5979138921387
25,-42.952611245286,-58.3744871999624,-5.03214813893034,-3.10522861295146,-7.3780082195265,-21.4362893389792,-28.9813367904024
